,comments
65,"Thanks for the suggestions. Unfortunately, due to the way the data copy pastes over from MyLab, my spreadsheet is horrendous and I am too lazy to make it look nice. 

As for the spikes:

2/1: Homework Lesson 6, Part 1- Section 14.2 - Calculus of Vector-Valued Functions - 2 hours and 59 minutes

2/15: Homework Lesson 12- Section 15.4 - The Chain Rule - 3 hours and 51 minutes

3/7: Homework Lesson 17- Section 15.8 - Lagrange Multipliers - 2 hours and 52 minutes

3/29: Homework Lesson 27- Section 17.2 Part II, Line Integrals of Vector Fields - 2 hours and 45 minutes

4/5: Homework Lesson 29- Section 17.4 - Green's Theorem - 3 hours and 26 minutes"
66,"Great data!  This reminds me of Stephen Wolfram, the guy takes his blood pressure before and after or during things as well and then plots them."
67,"I'll be honest, I wasn't trying my hardest at that point, but like 50% of the stokes homework had a conservative field, so the answer was 0 without much effort. Also, divergence theorem made a lot of sense to me so it was pretty easy for me to pick up."
68,"I got bored again. As the semester winds down, I decided to graph the time I spent on math homework over time this semester. This time with calc 3. I averaged 1 hour and 26 minutes per homework assignment. The beginning of the graph is a little messy because we had multiple assignments for the same day (broken up across multiple sections of the book) so they were shorter than normal. This also means I actually averaged a bit more than the time stated above per homework assignment.

Good Luck on finals everyone."
69,That was so easy what’re u talking about
70,"Calc 3 is definitely rough. I take notes on every lecture (I don't go in person, I Just watch them on boilercast, I think it's easier to follow when you can speed up/slow down and pause the video). For my notes, I use three different highlighting colors, blue for definitions/terms, yellow for important information, and pink for example problems. Each lecture comes out to exactly 2 pages front and back or less. This is just the system that's works for me! For this previous test I did a 2-week study plan where I went over the notes for that day and re-did all of the homework. I never really looked at the quizzes because I feel they really don't accurately display the exam questions as well as the homework does. I took the practice exam twice, I think I got a 57% the first time, and an 85% the second time, and I got a 91% on the exam. Apart of it is definitely luck, but preparing ahead of time and doing a bunch of problems is super helpful! Good luck, you can do it :)"
71,"Ope, you’re absolutely right, I have no idea why this posted here instead of there"
72,I think this comment would be better served in a Sister Cindy discussion thread instead of a thread of people trying to pass Calc 3
73,"As a math TA and tutor, I would say you need to figure out why you're not doing well. Do you know how to answer the questions but make calculation mistakes or forget formulas? Or is it more of a problem with understanding what the questions are asking or knowing how to solve them?"
74,Check out Paul’s math notes for some hard examples. But for the most part it’s just tons of practice
75,"When I took it last spring, they explicitly said ""all multiple choice.""

It was probably ~50% free response."
76,"You do have multiple choices, one of those choices is getting the answer correct."
77,"As long as it’s not one choice, it’s multiple"
78,"It's a math trick, every question is multiple choice, some just have infinite choices."
79,"For some people Calc 3 is easy, for others it really isn't. The best way I think to prepare for the class is to review vectors and conic sections. This is usually covered in the first week or so of class. I find that most people start to struggle with the class around the middle of the class with iterated integrals and most are thoroughly confused by the end. The other thing I would also say is make sure you're comfortable with trig.

If you do decide to go the private tutoring route, I'd be happy to help. PM me if you're interested."
80,Best tip with this playlist is for it to supplement your studying especially for exam practice but don’t let it be your primary source for learning the material. It’s really good when you need quick practice on a skill that you’re struggling with
81,"Just about done.  The number is bigger than it should be (even one is one too many) but is a very, very small population of the course.  The vast, vast majority of the students were doing the right thing."
82,"Yeah that's what chegg is for, just not during the exam. I'm assuming some people posted the problem and said something like ""how would I do this?"" And then someone replied and they used the other person's response as their test answer."
83,"Question: why would Chegg send information about who viewed the exam questions? Isn’t that against guidelines? 

Also, I’m not a Chegg user I was just wondering if it’s even possible for the professor to do this or if he’s trying to scare people."
84,Well some people just want a piece of paper with a good GPA and the promise of good jobs that come with it. They don’t care if they actually know how to do the job or not. So the motivation *does* make sense at least.
85,"Well it could be that 1) They didn’t see other people get caught, 2) They didn’t know about cheggs policies, and 3) their course may not have announced that they were keeping an eye on chegg. I’m not saying it’s right, but they may not have been willfully ignorant to the possibility that they could get caught."
86,"Play stupid games, win stupid prizes. Just the way life is. Hopefully this is a wake up call to those people that they’re in college now."
87,"I don't think this is a case of that. I mean if you're that stupid to cheat in such an obvious manner, then that's on you"
88,"I feel like $15 is probably off by a few orders of magnitude, but yeah."
89,"This isn't my quote, but using Chegg for exams at this point is like trying to rob a police station."
90,Looks pretty manageable. Cs159 and Chem 115 are jokes. Engr 132 is fine as well. Ngl ma261 will be a grind.
91,"PSY 120 is an easy A. It’s like 30 min commitment/week seriously would recommend haha. Your course load seems manageable! I wouldn’t worry about it. I’ve taken all those courses so feel free to DM if you have specific questions

Edit: I had all my research credits done by the 5th week of school because they were all online surveys"
92,Most of them were online surveys. Some of them could be pretty lengthy but they were easy. If you start doing them early on then you can be done with them pretty quick
93,I took it online and it is a very easy A.
94,"I took psy120 in person taught by George Hollich, and not only was it an easy A but it was also an incredibly fun class. I don't know if it is online or not but definitely look to take his section, in my opinion."
95,"My courses have been a shit show when it comes to brightspace. Many assignments not put in, teachers not giving an estimation of what grade you’re at. It’s very frustrating. I’ve had a few profs who’ve been a god-send with the switch to brightspace though, so at least there’s that."
96,"You just need a C or above in MA 261. As for future CS classes, you only extensively use linear in CSE or ML (or another math heavy track)"
97,It does not. But it will show a little symbol ( I believe it’s the letter E for exempt) next to it.
98,"Went from an 86 to a 68, so hopefully there's a fat curve for all of us to pass at the very least. Don't worry about your skill as a math student -- Purdue math is notoriously hard."
99,"Remember that the MA261 curves has been historically very generous, and even online I would not be surprised to see *some* curve:  [Purdue/MA261 at master · Leader-board/Purdue (github.com)](https://github.com/Leader-board/Purdue/tree/master/MA261)  \- see ""Exam grading FAQ.md"". The document was written keeping Fall 2019 in mind, but the data should help as a rough ballpark."
100,I'm in the same position as you. Was super shocked to see my final grade cause I thought I did well but apparently not. I'm PRAYING that they are super generous with the curve this semester but I really doubt that.
101,"Lmao. Since we're not allowed to discuss specifics yet, I'll say this.

I took the exam in 2 sessions (first one threw me off so bad, nothing like what I had expected) (second one went well though)

Ended up doing pretty good and securing an A.

It was not what I expected (in terms of difficulty and pattern)"
102,The calc 3 final is usually pretty bad with averages in the 40-60% range. You'll probably all be fine.
103,"If you can do integrals by hand and can do relatively simple derivatives then you should be good for the first half. The latter half of the course is more learning how to do certain theorems and when to use them and prior calc knowledge is not extremely helpful here. You can definitely take 261 and succeed and if you ever need extra assistance, there are a million resources to help with any of the topics covered in the class."
104,"As many people in this sub will tell you take MA 261. It's a really easy class with most of it just being calc 1 in 3 dimensions but you'll pick it up fast (I started school late and I took MA 261 a year after taking Calc BC at my high school). If you want a tutor for any of the Calc classes at purdue, you can pm me as well"
105,"I'm in the same situation. But I find calculus easy. From what I've read, calc 3 isn't too dependent on calc 2, so we should be good"
106,Go straight to calc 3 and save urself some misery
107,"I disagree with the other comment here because half of calc 3 is just calc 1 in three dimensions, the second half doesnt require as much prior knowledge but it is hella hard"
108,"Toms for 261 is a score. You’re good there. The beginning  and middle of the class is not at all bad, but vector calculus in the end might require you to study a lot.

I recommend switching into MA 351 with Vankoughnett. It should have open spots. Content wise, MA 351 is harder than 265 but because it is not designed for engineering students it operates on a much more forgiving grading scale. Other benefits are smaller class sizes and handwritten homework.

Can’t speak on the other two classes. Good luck! :)"
109,"Having taken 351 myself personally, I find it to be easy with a professor of the same caliber as vankoughnett whereas with 265, the professors aren't as good which makes the class harder. Although there are curves in 265, based on what happened last spring where people got curved down (in 351 the curves were more generous and people didn't get curved down) which gives OP more of a risk for not getting an A."
110,"I took MA261 in the spring, am currently taking PHYS241 over the summer, and will also take MA265 and AAE203 in the fall.

I can't say for any of the professors you mentioned, but MA261 starts out very easy before reaching peak difficulty towards the last 3-4 weeks of class (vector calculus). However, like some posters may have mentioned, do make use of /u/purduecalcthree's resources, esp those exam walkthroughs on YouTube. 

PHYS241 lectures are a pain, but you will soon realize that all you need is a firm grasp of the concepts taught and knowing when/how to apply the formulas in a problem. Lectures will contain a massive amount of integrals but those don't normally show up on exams, and many HW questions do have a Help section like MyLab Math, so you should be good."
111,I personally recommend switching out MA 265 with Xuefeng Xu for MA 351 with paul vankoughnett. You got a good professor for calc (exams aren't professor dependent though) but I can't comment on the professors for your latter 2 classes
112,Thomas Cunningham is a great Professor in my personal opinion. He is good at taking things slowly and making sure he’s focusing on the topics that his students don’t understand rather than just rushing through to get through the lecture.
113,MA 265 is relatively easy as far as a Purdue math class goes. AAE 203 is also one of the easier Aerospace Curriculum classes as far as I know. I've heard PHYS 241 is alright now but MA 261 was a pain for me. Overall though just 4 classes shouldn't be too bad if you can manage you time anyway. Good luck.
114,"Thank you so much!! Also, MA261 remains the exact same course whether taken in the fall or summer right? Just asking because there was a fall 2018 link and summer 2020 for the same course"
115,"I understand where you are coming from, but personally I found that this is a better approach considering the length of my post (which would otherwise be too long as a comment). 

That being said, the moderators are free to delete this if they think that this post is unsuitable. I only did this in good faith and apologise if I've made a mistake in any way."
116,"My advisor told me.  You can also use this link to see which courses transfer  [https://selfservice.mypurdue.purdue.edu/prod/bzwtxcrd.p\_select\_info](https://selfservice.mypurdue.purdue.edu/prod/bzwtxcrd.p_select_info) .

One of my friends told me that she is taking MA261 at Ivy Tech to transfer credits so I'm confused. This is my first time looking for summer courses at cc so I don't really know how and where to look for stuff lmk if you find something different"
117,Taking it right now at Oakton CC. It uses the same textbook and mymathlab as purdue but there aren't any lectures. Luckily you can mostly just watch Chen's lectures.
118,"You see, I need a 46 or higher to pass the class and I haven’t taken the final yet.

You don’t understand how f*cked I feel right now"
119,"That by itself won't do you much ([Fall 2019 for C- was \~55%](https://github.com/Leader-board/Purdue/blob/master/MA261/Exam%20grading%20FAQ.md)). The nice thing is that you have a *defined* cutoff, that is you are sure of getting that grade if you can attain the minimum, no matter whatever happens. This is also a case where having a 'easier' recitation can only help you (even if's slight)."
120,"depends on your situation whether you're a Math/Engineering or any other science major.   
B is indeed a good grade..."
121,"Considering that some people have surely failed (given the way they grade the class), yes, a B is very good."
122,Thank you! My ta gave out pretty hard quizzes with near 50% averages so I’m praying to god I at least get a B- lol
123,"Yeah, no problem.

A+ - 502

A   - 470

A-  - 439

B+  - 421

B    - 397

B-   - 379

C+  - 348

C    - 382   \* Probably 332 but that's what it says

C-   - 310

D+  - 278

D    -263

Looks like you about a A- ."
124,"My TA sent out a rough estimate of the cut-offs.

Based on your scores you have a C+ or B-!"
125,I think the 261 final average was super low based on what I’ve seen on reddit.
126,If you don’t get an A- with that than I’m fucked
127,"When I took the class, there wasn’t a big one. I remember doing kinda meh on the final when I had done relatively well on all the midterms and I still got a C+. BUT DON’T GET SCARED. It changes all the time.

TLDR, just do your best. The professors probably don’t even know what the curve is right now."
128,At this point just study hard and wait two weeks for final grades to come out
