,features,difficulty,comment,quality
63,I loved 250. He took students to task and held them high standards. Encouraged me think in new ways.,2,😎awesome,2.0
64,Knows his stuff but doesn't know how to teach.,2,😎awesome,2.0
65,He makes it fun and exciting.,2,😎awesome,2.0
66,One of the very best that Purdue has to offer.,2,😎awesome,2.0
67,he is awesome!,1,😎awesome,1.0
68,excellent professor! one of the best.,2,😎awesome,2.0
69,"Best teacher I had in 4 years at Purdue. He is very interesting, fun, and can actually make class pretty easy if you get to know him. Very understanding of personal issues. also wrote me a GREAT letter rec my senior year. We even have facebook group called ""Mohan Worshippers Unite"".",2,😎awesome,2.0
70,Mohan rules. He is a great reference and provides you with tools for your future!,2,😎awesome,2.0
71,"Mohan has been one of my favorite teachers at Purdue! He was very laid back, funny, and knew a lot about PR. I enjoyed being in his class would easily take any other courses he taught.",1,😎awesome,2.0
72,Amazing Teacher!!! I recommend her! She is amazing and always prepared!,2,😎awesome,2.0
73,Great teacher. Always interesting. She tries very hard to make everything relate the real world. Examples are always with companies that most of us have heard of. Labs actually useful. Lab book required but you don't really need course text as you'll never use it.,2,😎awesome,2.0
74,One of the better CIT teachers. Does use slides a lot but makes class fun and interesting. Easy A.,2,😎awesome,2.0
75,great prof!!,1,😎awesome,1.0
76,"Great teacher, extremely easy to get along with. Very helpful and class is really easy. Highly recommend taking her.",2,😎awesome,2.0
77,"Easy class if you go to every day and do the practice exams. Has guest lectures which are sometimes good. The isn't very technical, so most of useful things learn from in-lecture Q&A.",1,😎awesome,1.0
78,Very easy course. Mariga hsa to be one of the easiest professors in CIT. Great person and great professor.,2,😎awesome,2.0
79,Good teacher,2,😎awesome,2.0
80,"very nice, but didn't show up to class about half the time. lots of guest speakers. lab was easy, just follow tutorials given and you get 100%. exam review is basically same as exam.",2,😎awesome,2.0
81,I loved this class. So layed back and really easy. would encourage anyone to take it.,1,😎awesome,1.0
82,"She's a nice teacher who tries hard to ensure her students get good grade. Too bad I got Mr. I-'ll-Fail-Everyone-In-This-COurse Hassan for 230 instead of her, might not look back on that course with anger...",2,😎awesome,2.0
83,"I'm not sure if she has any professional experience in the field is teaching, or for that matter knowledge outside powerpoint slides teaches from. She missed a lot of classes and had guest speakers, but great exam review guides.",1,😎awesome,1.0
84,All lectures are read directly from the Powerpoints as if she doesn't know what she's talking about. She's very easy though. Study guides straight test and project is a guaranteed A.,2,😎awesome,2.0
85,"Although she has a decent personality, it is obvious doesn't care about the class. I am also pretty sure know what she's taking about, since reads directly from slides (sometimes misreads without noticing) and dodges most questions",1,😎awesome,1.0
86,No Comments,2,😎awesome,2.0
87,Totally HOT!,1,😎awesome,1.0
88,No Comments,2,😎awesome,2.0
89,"I love Professor Armstrong! One of the best teachers I've had at Purdue. She cares about her students and really wants them to do well. She's always available help with class assignments. As long as you put forth your effort in readings writing, should be fine. a very cool, down earth person. Take her!",2,😎awesome,2.0
90,Fantastic class. Would highly recommend this as an elective. The final projects are really cool and Prof. Armstrong is a great teacher.,2,😎awesome,2.0
91,"Treated us like we were becoming experts on the Odyssey, Aeneid, and Beowulf--have never felt so invested in a class before. Changed my whole outlook life. She is awesome.",2,😎awesome,2.0
92,I had her course on medieval history. Really really enjoyed it. transferred from Harvard and found it as good a professor Oxford there. Also studied French period at Brynn's mast she brought everything together to me. Easy fair professor.,1,😎awesome,1.0
93,"This re TeachCo on writing. Didn't think it would help my fiction, but was in meeting of day job, people arguing opposing viewpoints. I only one who led argument with validity opponent's position. It worked. Thanks.",2,😎awesome,2.0
94,Dorsey is possibly the best prof I've had at Purdue! Wish I could have her again but I'm graduating! She makes information interesting and obviously an expert in field! grades fairly gives you multiple opportunities to do extra credit papers there on exams. Take a class with if can!!!,1,😎awesome,2.0
95,"Armstong is one of my two favorite professors from undergrad career. She's a GEM, both as person and professor. She commands respect, but kinda motherly towards her students. You will learn lot about medieval lit history in class, you'll become an enthusiastic nerd like her, love it.",2,😎awesome,2.0
96,"dr. armstrong is a fabulous professor! her lectures are interesting and fun! the readings for class, whill sometimes lot, always fulfuilling.",1,😎awesome,2.0
97,I love Prof Armstrong! She was my favorite professor at Purdue University. hands down.,2,😎awesome,2.0
98,"Dorsey Armstrong is extremely enthusiastic about her subject, gives fantastic lectures and always recaps basic concepts to make sure you've got it down. She's a very fair grader writes helpful comments (very encouraging too) at the end of each paper she grades. Always smiling friendly. Brilliant what does. TAKE A CLASS FROM HER!",1,😎awesome,1.0
99,Easily the best class I've had in college so far.,2,😎awesome,2.0
100,"Very knowledgeable on medeival England, entertaining and somewhat relaxed.",1,😎awesome,2.0
101,Anything that she teaches is good. She always has time for her students and grading fair...don't get behind.,2,😎awesome,2.0
102,"Dr. Armstrong is truly dedicated to her students. She a fair grader and always willing meet with students in order help them improve. However, some are not smart enough ask for help. Therefore, they leave class bad attitude as well grade. She's great, I highly recommend classes.",1,😎awesome,2.0
103,"Just not as cool she thinks is. I didn't like her or attitude. Acts holier than thou in a weird way, and it comes out the grades. There's this thing does with nose, too. You'll see.",2,😎awesome,2.0
104,She was the best prof I had at Purdue!,2,😎awesome,2.0
105,I absolutely loved this course when Professor Armstrong taught it. She is intelligent and always keeps things interesting. I'm looking forward to taking another of hers next semester.,2,😎awesome,2.0
106,No Comments,1,😎awesome,2.0
107,One of the best profs I've ever had. Very helpful in and out class. Had a Medieval feast instaed final. It was great fun research done for it helped me learn lot. Take class with her if at all possible!,2,😎awesome,2.0
108,"She ROCKS! makes the History of English language fun. shows videos, is really nice, and her tests are easy. Not to mention that she always available help you totally flexible. If can take classes!",1,😎awesome,2.0
109,Hes Jeff Beckley. Do I need to say anything else?,2,😎awesome,2.0
110,"Couldnt give a better review, my favorite professor. His class isnt pushover, but he will do everything can to help you succeed. And his is very helpful, hes good at teaching concepts. If go class, your work, and ask for when need it, there no reason not well.",2,😎awesome,2.0
111,"way too much work: 11 projects (1 final project, 5 in-class, out of class group projects), homework due Tues and Thursday at noon..., hard tests (3 exams)",2,😎awesome,2.0
112,"Jeff is the best. He interacts with his students, has a good sense of humor, cares deeply about actuarial science very patient. Simply best",1,😎awesome,2.0
113,"Funny. Nice. Great Teacher. If you see his course, take it.",1,😖awful,1.0
114,"Was slightly disappointed to find out he is not, in fact, Jeff Buckley. That aside, an amazing professor! You can do well this class if you pay attention and put the work. I wish was my professor for every class!",2,😖awful,2.0
115,His lectures make difficult material seem like common sense; he really cares about his students and makes an effort to know everyone's name. He will devote time out of class making sure you have all the help need.,2,😎awesome,2.0
116,"I liked him a lot. STAT490 was difficult class, and don't think the class for me, but he really took into our comments thought about us how we felt class. He helpful understanding whenever that were struggling. like Jeff as professor.",1,😎awesome,2.0
117,Jeff is an amazing professor and sets the class up for every student to pass as long they are willing put in work.,2,😎awesome,2.0
118,Hes good,1,😎awesome,2.0
119,"It's simple. If you see a class talk by Jeff Beckley, take it.",2,😎awesome,2.0
120,Just take his course. He is amazing.,1,😎awesome,1.0
121,"A professor that really enjoys what he does. He grades fair and is very accessable. also gets the whole class involved in lecture often singling out students to answer questions, but never a mean or derogatory way",2,😎awesome,2.0
122,Hands down the best professor you will ever have in a math/stat class,1,😎awesome,2.0
123,"The class is definitely hard, but he a superb professor!",2,😎awesome,2.0
124,Jeff Beckley is hands down the best prof I have had at Purdue so far. He does an amazing job teaching his courses and it shows how truly passionate he about helping others learn. said attendance was mandatory because not post lectures anywhere material unique to course way teaches it.,2,😎awesome,2.0
125,The class could not be more clear and laid out. concepts are very he gives you four past years' exams quizzes to prepare with. If still don't understand the topics after those is always in his office ready help students. Class time really enjoyable tries learn everyone's name a of hundred.,2,😎awesome,2.0
126,perfect teacher! very friendly and makes sure that everyone understands everything. I would definitely take him again. for sure.,1,😎awesome,2.0
127,"Beckley is the greatest professor I've had. He easy to talk and will do as much he can prepare you for FM exam (during class in office hours). calls on during super understanding if don't know answer, but it keeps awake paying attention. I wish was my second dad.",2,😎awesome,2.0
128,"Jeff Beckley is an amazing professor. I wish could have chosen more tags, because he also very accessible outside of class, caring, and well respected. take all my actuarial science classes with Beckley. Sensational.",2,😎awesome,2.0
129,"Dr. Grant is the best professor I have ever had. He extremely smart and knows a lot about course material, yet he does fantastic job of explaining it at an introductory level. His assignments are very relevant fair clearly puts effort into keeping practical interesting.",2,😎awesome,2.0
130,"Best teacher/professor I've ever had by a large margin. Flipped classroom attendance isnt mandatory. Fantastic online lectures. Genuinely passionate about aero. Very approachable/friendly. Fair tests. Only caveat is that you better be ready to work, because the homeworks are very time consuming, making it difficult keep up with other classes.",2,😎awesome,2.0
131,He's the best professor I've ever had! He made me love Aerospace even more than I already did,2,😎awesome,2.0
132,Great professor. Always interested in your questions and ready to provide help when needed.,1,😎awesome,2.0
133,"He gave an amazing Introduction to Aerospace Engineering. Though the homework are difficult, if you take them seriously, exams would be super easy. The professor focuses on concepts and teaches very clearly.",2,😎awesome,2.0
134,"Best professor I've had at Purdue. He is very helpful and a wonderful lecturer. If you go to class, pay attention, do the homework, will well.",1,😎awesome,2.0
135,"He is the best Professor I have ever had in Purdue. Despite difficulty of this class, it only class an A+ so far. AAE 251 has been hardest, but most interesting mainly because Grant. Focus on notecard. Homeworks are very important; score well them. Make sure you good MATLAB!",2,😎awesome,2.0
136,"He is a genius! will calculate stuff as you present. Do not turn in/present bs, be caught. Very helpful during office hours. The class takes lot of time and requires group work. Be prepared to work with 7-8 people groups. His TAs were absolutely terrible! Exams are fair, on your equation sheet have everything it",2,😎awesome,2.0
137,"One of the most interesting and helpful professors I've ever had. This guy knows what he's talking about. The course is really fast-paced, but more than willing to help you understand something if you're struggling.",2,😎awesome,2.0
138,"One of the best Aero professors I've had. Homework can be quite challenging but in end you learn a LOT more. Extremely helpful during office hours, one few had that was truly enthusiastic about teaching and helping students. Go to all lectures, ask questions, this should an easy A or B.",2,😎awesome,2.0
139,One of the best professors I have ever had!,2,😎awesome,2.0
140,Super awesome teacher. Always had a blast in lectures!,1,😎awesome,2.0
141,"Professor Fala is one of my favorite people at all Purdue. She's the only professor I keep in touch with. very caring and accessible outside class, does a great job presenting course content. She lightens mood by throwing jokes telling interesting stories. 10/10",2,😎awesome,2.0
142,"Dr Fala always tried to make sure everyone felt welcomed in class. The homeworks and exams tended be difficult, but she was open help you out if were reach ask questions. She also made get know all her students the lectures exciting which added enjoyment of class overall.",1,😎awesome,2.0
143,"This class had very hard homework and exam problems. Despite this, if you went to office hours asked a question on the homework, Nicoletta would help out. The big group project was also difficult, but questions it became way easier. It tough still passable as long speak up get need.",2,😎awesome,2.0
144,Nicoletta is always very enthusiastic about what she teaches. Lectures are entertaining and informative. There was so much extra credit it almost impossible to not get an A.,1,😎awesome,1.0
145,Dr. Fala is by far the best professor I have had a class with at Purdue University. Lectures are engaging. gave helpful feedback throughout course to aid in final project performance. This made me excited about Aerospace Engineering.,2,😎awesome,2.0
146,Fantastic professor that I enjoyed coming in to class listen to. She kept the interesting and you could tell she had a ton of passion for aerospace industry. is type will really connect with students establish friendly relationship encourage participation course. Overall one my top 3 fav,1,😎awesome,2.0
147,"Dr. Fala is the best. She's so knowledgeable and passionate about her work. She accessible, understanding, will do best to help you learn material. inspires students go above beyond. The class was interesting fun. quizzes were hard but I learned a lot, getting good grade possible if work for it. 11/10",2,😎awesome,2.0
148,"I had this instructor for a design class and she seemed nice enthusiastic, but wasn't clear on grading criteria our big project (50% of the grade). She was also sometimes hard to listen as does have an accent. Lectures could be better organized.",2,😎awesome,2.0
149,"This ""professor"" is nothing more than a grad student who doesn't know how to teach. She does not set clear expectations for the projects she weights at 50% of your grade, will provide clearer instructions or even grading rubric when asked, and then throw out bad grades because they work didn't match what had thought in her head.",2,😎awesome,2.0
150,"7 years after taking this class I had to give him a review. Lessons learned in his are useful everyday life. With of over 100 people, the attention got from was amazing. He is caring and wonderful man. Other professors should model themselves him.",2,😎awesome,2.0
151,His lectures are typically skewed to the political right and I found a lot of his could be proven incorrect. He is nice guy but he very biased presents matters only through point view which old fashion. This class necessary for many majors really suggest another professor more balanced class.,1,😎awesome,2.0
152,Best professor ever!,2,😐average,2.0
153,This is the best course I have ever taken in my life. You learn a lot about life along with all of material that covered.,2,😐average,2.0
154,"The best teacher I have ever had at Purdue. He knows what he's talking about, and explains it well. Uses humor to explain his subject",2,😎awesome,2.0
155,He is a wonderful teacher. will remind you of fun grandpa. Cute old man. Makes class with his stories. Make sure to go - quiz every day at the beginning.,2,😎awesome,2.0
156,Best professor ever! Definitely my favorite prof at Purdue. His stories are timeless :),2,😎awesome,2.0
157,"I LOVED this class!! It was really easy, and if you are confused at all go to the help sessions! He goes over every question on homework. Go sessions before exams too. always willing help.",2,😎awesome,2.0
158,"Teaches through stories, quizzes every class, I learned the material very easily because of his method teaching.",2,😎awesome,2.0
159,"Dr. Taylor might just be the coolest/funniest older gentleman you will ever meet. The work can a little difficult, but he often throw in no brainer quiz. While econ was not really my favorite thing, I am glad took it with because kept class interesting",1,😎awesome,2.0
160,"Cool prof, he's your stereotypical funny old man. Class material is kinda boring, but generally interesting. Pro tip: when he collects the quizzes, that's cue to leave can't see you. Also, don't bother with notecards, just notes from last class out, doesn't notice/care.",2,😎awesome,2.0
161,"Nicest man I have ever met! and he is sooo helpful. If you go to his help sessions, goes over the entire assignment due for that week, so you'll get 100. Attendance mandatory because a quiz every day, but makes class interesting with all of stories",1,😎awesome,1.0
162,The man is a saint. I missed the final due to completely inane reason (I thought it started at 3pm. Hint: It ended 3pm) and he let me finish turn into his secretary. expect lose some points of course but had no even try my GPA thanks him dearly.,2,😎awesome,2.0
163,"Dr. Taylor is a great professor who makes going to class worth while. You'll need attend do well in the but if you shouldn't have any problem doing rather this course. He knows his stuff and has been teaching long enough be set ways, which fine because they work. Take class, go it.",2,😎awesome,2.0
164,"Dr. Taylor was the absolute best teacher I have ever had. Although his class challenging, he taught with a certain enthusiasm that made it so easy to learn. He is such nice man and would definitely love him for another some time. simply wonderful!!",2,😎awesome,2.0
165,"Dr. Taylor was the absolute best teacher I have ever had. Although his class challenging, he taught with a certain enthusiasm that made it so easy to learn. He is such nice man and would definitely love him for another some time. simply wonderful!!",1,😎awesome,1.0
166,"Dr. Taylor was the absolute best teacher I have ever had. Although his class challenging, he taught with a certain enthusiasm that made it so easy to learn. He is such nice man and would definitely love him for another some time. simply wonderful!!",2,😎awesome,2.0
167,Best Prof at Purdue.,1,😎awesome,1.0
168,Excellent Teacher.,2,😎awesome,2.0
169,The most required attendance ever w/ assigned seating. Class starts out very easier but grading becomes less lenient as semester progresses. Make sure you save the online notes because he will clear them from WebCT test approaches.,1,😎awesome,2.0
170,"HORT 360 is such an easy A. She gives lots of extra credit on exams, quizzes, hw, etc. Labs are extremely fun, and if you show up try, automatically get full for the lab. Mary Lou loves what she teaches really going. I would definitely recommend this course!",2,😎awesome,2.0
171,"She's the best! If you get 1000 points, an A and she pretty much gives bonus every class, lab, etc. It's a joy to be in her class.",1,😎awesome,1.0
172,The class is really fun and Mary Lou super nice fun! Best elective at Purdue awesome professor!,2,😎awesome,2.0
173,She is so fun and sweet the class really enjoyable. During labs she turns on radio walks around chats with everyone--it perfect elective.,1,😎awesome,1.0
174,"BEST TEACHER EVER!! CLASS I'VE EVER TAKEN! So fun, easy, the perfect elective",2,😎awesome,2.0
175,Outstanding instructor and creative spirit. This class is delightful.,1,😎awesome,1.0
176,Mary was amazing! She very creative and reminded me of Miss Frizzle but what a genuine person! made laugh kick back bit. I love the class. Floral arrangement is great!~,2,😎awesome,2.0
177,No Comments,1,😎awesome,1.0
178,Easy and great teacher. A no doubt kinda fun...Great if your a guy cuase there are nothing but girls in her classes!!!!!,2,😎awesome,2.0
179,She's GREAT!!!!,1,😎awesome,1.0
180,No Comments,2,😎awesome,2.0
181,Best Prof EVER!!!!!!!!!!!!!,1,😎awesome,1.0
182,"My favorite professor, one who respects his students and they respect him even more for that. Hilarious always makes class fun. Not that many assignments you just need to show up class, no take notes, will get at least a B.",2,😎awesome,2.0
183,"Dr. Ess is without a doubt one of the best professors I have encountered in my time at Purdue ! Take every class you can with him, will not regret it!",1,😎awesome,1.0
184,Professor Ess is one of the best Professors you will encounter! Super laid back and funny! Makes a class that could be boring very fun!,2,😎awesome,2.0
185,"Simply, the goat.",1,😎awesome,1.0
186,Great Professor! He makes class very enjoyable even if the subject he must teach isn't that enjoyable. slows down when something is difficult and speeds up through subjects are easy. I wouldn't enjoy classes so much it weren't for him.,2,😎awesome,2.0
187,Dr. Ess is one of the greatest professors ever. He super entertaining and you will learn a lot. I wish more classes were taught by guys who care like does.,1,😎awesome,1.0
188,Awesome guy very funny,2,😎awesome,2.0
189,Awesome professor. Makes even a better advisor. Extremely helpful.,1,😎awesome,1.0
190,a very practical class,2,😎awesome,2.0
191,"Pretty good prof, and had a sweet cameo on the History Channel",1,😎awesome,2.0
192,No Comments,2,😎awesome,2.0
193,"Greaatt teacher, very helpful and a fun class.",1,😎awesome,1.0
194,"Professor Moriarty was truly one of the best instructors I had during my freshman year at Purdue. He makes you feel comfortable in his class. does not give too much work, he simply wants everyone to submit their work (which is a lot!) on time and participate Take class, will regret it!",2,😎awesome,2.0
195,"Amazing professor and a very respectable individual. Had to take engl111 online due covid but he kept the workload light enjoyable. You can tell cares about his students lot encourages us share our experiences thoughts often, allowing for maximum engagement. If you get chance choose him, do it. Best in department.",1,😎awesome,1.0
196,Very nice teacher. Possibly the nicest teacher I have ever met.,2,😎awesome,2.0
197,Steve is awesome. We all love him. He so nice. His lectures are full of fun. I strongly recommend you to take his classes.,1,😎awesome,1.0
198,"The professor is son nice. he funny, the assigmnets are not hard, but you have to them. can only miss three classes without affecting your grade.",2,😎awesome,2.0
199,"Steve is by far the best professor I have had at Purdue. He funny and cares about your opinion. The class really interesting all you do discuss. Take my word for it register his class. course an easy A, there virtually no homework except reading assistant.",1,😎awesome,1.0
200,Steve really cares about his students and want them to succeed in class their university journey. Very respectful expects be too.,2,😎awesome,2.0
201,"Probably the best professor you would ever find in Purdue. He is hilarious, savage, understanding and very supportive. His classes are generally fun if try to one up him, he will destroy with his sarcasm. Just attend interact class have a great time. P.S. I also wanted him for ENG111 but couldn't get",1,😎awesome,1.0
202,"Excellent professor, if you ever have the chance to take a class with him, do it.",2,😎awesome,2.0
203,"Best professor I had at my first semester Purdue. He really cares about his students and is pretty funny. If he teaching one of your courses, make sure to pick him.",1,😎awesome,1.0
204,He is thought me GS100 for American Language and Culture I loved it. Although I'm not sure about the ways book.. Didn't really opened it.. A great teacher do your reading in time everything on you'll be fine,2,😎awesome,2.0
205,"Dr. Russell is a good professor in broad sense, but specific parts of the class make it hard. The lectures are long and he does little to interesting, so you end up having cram at last minute. Also, exams don't always match with what we were actually taught. All all though, was an interesting fun labs.",1,😐average,2.0
206,I loved the lab trips that we took once a week. By far my favorite class for first semester. Dr. Russell made it fun and enjoyable class.,1,😐average,2.0
207,An enthusiastic first professor in my major. Very committed to giving us a broad overall view of Animal Science disciplines and industries. Hard but fair.,2,😎awesome,2.0
